id	regime	unit	frame_bytes	formula_mcv	tool_mcv	H_I_bits_per_sample	nist_frame_bits	published_worstpair_mcv_bits	overstatement_ratio	vs256
data1_000025	lit bookshelf	934f Pi Zero 2 W	691200	4.0749	4.074909	1.142516	789707	1748713	2.21	3085
data1_000029	lit bookshelf	074c Zero W bare	691200	2.4614	2.46138	1.209095	835726	1581192	1.89	3265
data1_000111	lit bookshelf	a92a Plus 640x640	1228800	2.5985	2.598534	1.237858	1521080	3131353	2.06	5942
data1_000303	lit bookshelf	6b66 Zero Rev 1.3	691200	2.4228	2.422813	0.815645	563774	1505982	2.67	2202
data2_000049	dark campaign	data2	691200	0.0085	0.008532	7.1e-05	49	1775	36.17	0
data2_000126	dark campaign	data2	691200	0.0113	0.011253	9e-05	62	384	6.17	0
data2_000151	dark campaign	data2	691200	0.0264	0.026388	0.000164	113	1297	11.44	0
data2_000207	dark campaign	data2	691200	0.0104	0.010396	0.000146	101	423	4.19	0
data2_000241	dark campaign	data2 Plus 640x640	1228800	0.0560	0.055981	0.000509	625	34024	54.40	2
data2_000255	dark campaign	data2	691200	0.1212	0.121184	5.1e-05	35	2527	71.69	0
data2_000345	dark campaign	data2 sealed pair run	691200	0.0884	0.088428	5e-05	35	1958	56.66	0
data2_000409	dark campaign	data2	691200	0.0232	0.023218	0.00011	76	173	2.28	0
data2_000427	dark campaign	data2 Plus 640x640	1228800	0.0315	0.031472	0.000433	532	36462	68.53	2
data3_000025-934f	dark desk	934f	691200	0.0157	0.015711	0.000112	77	2969	38.35	0
data3_000031-6b66	dark desk	6b66	691200	0.3850	0.384967	0.008353	5774	26318	4.56	23
data3_000117-934f	dark desk	934f	691200	0.0077	0.007685	0.000145	100	550	5.49	0
data3_000150-6b66	dark desk	6b66	691200	0.0063	0.006251	9.2e-05	64	113	1.78	0
data3_000202-934f	dark desk	934f	691200	0.0144	0.014448	9.3e-05	64	517	8.04	0
data3_000303-6b66	dark desk	6b66	691200	0.0081	0.008061	2.9e-05	20	221	11.03	0
data3_000322-934f	lit control	934f	691200	3.2661	3.266143	0.820368	567038	1332455	2.35	2215
data3_000630-6b66	lit control	6b66	691200	2.4205	2.420497	0.71301	492833	1544107	3.13	1925
data4_000025-934f	dark desk	934f	691200	0.0090	0.009022	6.6e-05	46	496	10.87	0
data4_000038-a92a	dark, light present	a92a Plus 640x640	1228800	0.2473	0.247291	0.014784	18167	248977	13.71	71
data4_000117-934f	dark desk	934f	691200	0.0079	0.007917	5.2e-05	36	389	10.82	0
data4_000123-6b66	dark, light present	6b66	691200	0.2884	0.288443	0.009949	6877	24754	3.60	27
data4_000212-934f	dark desk	934f	691200	0.0097	0.009744	0.000124	86	1110	12.95	0
data4_000236-6b66	dark desk	6b66	691200	0.0157	0.015659	0.00017	118	190	1.62	0
data4_000412-6b66	dark desk	6b66	691200	0.0143	0.014284	1.3e-05	9	177	19.70	0
data4_000450-a92a	dark desk	a92a Plus 640x640	1228800	0.0465	0.046472	0.001934	2376	27576	11.60	9
data4_000523-6b66	dark desk	6b66	691200	0.0127	0.012721	7.5e-05	52	432	8.33	0
data5_000053-6b66	white wall handheld	6b66	691200	2.4395	2.439475	0.779733	538951	1397876	2.59	2105
data5_000306-6b66	white wall stationary	6b66	691200	2.2006	2.200629	0.990681	684759	1490163	2.18	2675
data6_000037-6b66	dim L1 clearly visible	6b66	691200	1.8937	1.893658	0.039662	27414	1006261	36.71	107
data6_000157-6b66	dim L1 clearly visible	6b66	691200	2.5953	2.595315	0.810977	560547	1485080	2.65	2190
data6_000407-6b66	dim L2 visible, dim	6b66	691200	1.4064	1.406451	0.007255	5015	809617	161.45	20
data6_000528-6b66	dim L2 visible, dim	6b66	691200	1.6359	1.635907	0.016994	11746	818439	69.68	46
data6_000755-6b66	dim L3 barely visible	6b66	691200	0.9925	0.992463	0.000264	182	451756	2475.69	1
data6_000915-6b66	dim L3 barely visible	6b66	691200	1.2897	1.289673	0.00705	4873	486903	99.92	19
data6_001032-6b66	dim L4 effectively black	6b66	691200	0.1799	0.179854	5.3e-05	37	13213	360.68	0
data6_001158-6b66	dim L4 effectively black	6b66	691200	0.0978	0.097752	9.8e-05	68	12778	188.64	0
data6_001331-6b66	dim L5 black	6b66	691200	0.0807	0.080705	6.5e-05	45	931	20.72	0
data6_001447-6b66	dim L5 black	6b66	691200	0.0105	0.010539	7.3e-05	50	1283	25.43	0
